Date,merra2
2012-05-01,5.78325259899996
2012-06-01,5.344060021862351
2012-07-01,5.660087228655575
2012-08-01,5.2498561629610565
2012-09-01,5.570788737495669
2012-10-01,6.788257920725852
2012-11-01,5.848657622290018
2012-12-01,8.332187412179147
2013-01-01,5.694402049544346
2013-02-01,6.351507297341176
2013-03-01,5.777874327514435
2013-04-01,6.4222978718957275
2013-05-01,5.380314543510204
2013-06-01,5.465237083030463
2013-07-01,5.112162972104092
2013-08-01,4.573576368532359
2013-09-01,5.3783482604682655
2013-10-01,6.778739773668271
2013-11-01,6.845313886564761
2013-12-01,7.618785316434993
2014-01-01,7.227946905581501
2014-02-01,8.598685599148121
2014-03-01,5.207071181003292
2014-04-01,4.872303560085115
2014-05-01,6.35163532383573
2014-06-01,5.425232874813919
2014-07-01,4.876928765671732
