Date,era5
2014-06-01,5.205080586277859
2014-07-01,4.821668009869115
2014-08-01,4.917273368219946
2014-09-01,4.727133799381372
2014-10-01,5.191185881234739
2014-11-01,6.1141283251606975
2014-12-01,6.715867329869998
2015-01-01,7.0811601063085465
2015-02-01,6.540492500761823
2015-03-01,6.29802883232657
2015-04-01,5.694730802709829
2015-05-01,5.53832269905714
2015-06-01,5.077082901433352
2015-07-01,5.305550899274261
2015-08-01,4.961172256065849
2015-09-01,6.433559744872768
2015-10-01,5.238246084414312
2015-11-01,7.212845161822273
2015-12-01,7.195651947038447
2016-01-01,7.53037226476126
2016-02-01,8.273671717824781
2016-03-01,6.919058994184366
2016-04-01,5.427753725810871
2016-05-01,5.0927421235425046
2016-06-01,4.631176168280132
2016-07-01,4.305522140931161
